retrieved_at,cutoff_date,forecast_start_date,forecast_end_date,method,content_hash,changed,dashboard_built_at
2026-08-24T04:46:07+00:00,2026-08-21,2026-08-22,2026-08-28,Bayes-M17-med,ce9c88164a78,1,2026-08-23T14:31:48.353584+00:00
2026-08-24T15:56:48+00:00,2026-08-21,2026-08-22,2026-08-28,Bayes-M17-med,ce9c88164a78,0,2026-08-24T08:53:04.640357+00:00
2026-08-25T16:01:37+00:00,2026-08-21,2026-08-22,2026-08-28,Bayes-M17-med,10fe5940cc03,1,2026-08-25T12:40:43.640074+00:00
2026-08-26T16:34:25+00:00,2026-08-23,2026-08-24,2026-08-30,Bayes-M17-med,76ab7a9c6c46,1,2026-08-26T11:31:09.939491+00:00
2026-08-28T00:25:33+00:00,2026-08-27,2026-08-28,2026-09-03,Bayes-M17-med,612f4954443f,1,2026-08-27T14:12:23.639570+00:00
2026-08-29T00:01:01+00:00,2026-08-28,2026-08-29,2026-09-04,Bayes-M10-med,b036977d9979,1,2026-08-28T14:35:56.331237+00:00
2026-08-29T18:32:27+00:00,2026-08-28,2026-08-29,2026-09-04,Bayes-M10-med,b036977d9979,0,2026-08-28T14:35:56.331237+00:00
2026-08-30T18:38:41+00:00,2026-08-28,2026-08-29,2026-09-04,Bayes-M10-med,b036977d9979,0,2026-08-28T14:35:56.331237+00:00
2026-08-31T20:50:48+00:00,2026-08-28,2026-08-29,2026-09-04,Bayes-M10-med,b036977d9979,0,2026-08-31T12:18:08.410674+00:00
2026-09-01T18:32:44+00:00,2026-08-28,2026-08-29,2026-09-04,Bayes-M10-med,b036977d9979,0,2026-09-01T09:28:39.098582+00:00
2026-09-02T18:44:10+00:00,2026-09-01,2026-09-02,2026-09-08,Bayes-M10-geo,be2bc7ab226d,1,2026-09-02T12:50:45.078066+00:00
2026-09-03T18:41:33+00:00,2026-09-01,2026-09-02,2026-09-08,Bayes-M10-geo,be2bc7ab226d,0,2026-09-03T12:21:23.982744+00:00
2026-09-04T18:25:33+00:00,2026-09-01,2026-09-02,2026-09-08,Bayes-M10-geo,be2bc7ab226d,0,2026-09-04T18:08:42.996216+00:00
2026-09-05T17:21:21+00:00,2026-09-04,2026-09-05,2026-09-11,Bayes-M17-med,81f1e04ebeba,1,2026-09-05T16:19:42.368281+00:00
